,Detector,FPR Target,Error Type,Error Rate,Count,Total,model
17,originality,0.0500,Type II (False Negative),0.1851585014409222,257,1388,Gemini 2.0 Flash
18,originality,0.1000,Type I (False Positive),0.09984871406959153,132,1322,Gemini 2.0 Flash
19,originality,0.1000,Type II (False Negative),0.04971181556195965,69,1388,Gemini 2.0 Flash
20,pengram,0.0001,Type I (False Positive),0.000502008032128514,1,1992,Gemini 2.0 Flash
21,pengram,0.0001,Type II (False Negative),0.06325301204819277,126,1992,Gemini 2.0 Flash
22,pengram,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,Gemini 2.0 Flash
23,pengram,0.0050,Type II (False Negative),0.028112449799196786,56,1992,Gemini 2.0 Flash
24,pengram,0.0100,Type I (False Positive),0.010040160642570281,20,1992,Gemini 2.0 Flash
25,pengram,0.0100,Type II (False Negative),0.022590361445783132,45,1992,Gemini 2.0 Flash
26,pengram,0.0500,Type I (False Positive),0.04969879518072289,99,1992,Gemini 2.0 Flash
27,pengram,0.0500,Type II (False Negative),0.010542168674698794,21,1992,Gemini 2.0 Flash
28,pengram,0.1000,Type I (False Positive),0.10040160642570281,200,1992,Gemini 2.0 Flash
29,pengram,0.1000,Type II (False Negative),0.004518072289156626,9,1992,Gemini 2.0 Flash
30,roberta-base-detector,0.0001,Type I (False Positive),0.000502008032128514,1,1992,Gemini 2.0 Flash
31,roberta-base-detector,0.0001,Type II (False Negative),1.0,1992,1992,Gemini 2.0 Flash
32,roberta-base-detector,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,Gemini 2.0 Flash
33,roberta-base-detector,0.0050,Type II (False Negative),0.998995983935743,1990,1992,Gemini 2.0 Flash
34,roberta-base-detector,0.0100,Type I (False Positive),0.010040160642570281,20,1992,Gemini 2.0 Flash
35,roberta-base-detector,0.0100,Type II (False Negative),0.9969879518072289,1986,1992,Gemini 2.0 Flash
36,roberta-base-detector,0.0500,Type I (False Positive),0.04969879518072289,99,1992,Gemini 2.0 Flash
37,roberta-base-detector,0.0500,Type II (False Negative),0.9688755020080321,1930,1992,Gemini 2.0 Flash
38,roberta-base-detector,0.1000,Type I (False Positive),0.10240963855421686,204,1992,Gemini 2.0 Flash
39,roberta-base-detector,0.1000,Type II (False Negative),0.8940763052208835,1781,1992,Gemini 2.0 Flash
