,Detector,FPR Target,Error Type,Error Rate,Count,Total,model
25,pengram,0.0100,Type II (False Negative),0.0030181086519114686,6,1988,Gemini 2.0 Flash
26,pengram,0.0500,Type I (False Positive),0.05030181086519115,100,1988,Gemini 2.0 Flash
27,pengram,0.0500,Type II (False Negative),0.001006036217303823,2,1988,Gemini 2.0 Flash
28,pengram,0.1000,Type I (False Positive),0.10010060362173039,199,1988,Gemini 2.0 Flash
29,pengram,0.1000,Type II (False Negative),0.001006036217303823,2,1988,Gemini 2.0 Flash
30,roberta-base-detector,0.0001,Type I (False Positive),0.000502008032128514,1,1992,Gemini 2.0 Flash
31,roberta-base-detector,0.0001,Type II (False Negative),1.0,1992,1992,Gemini 2.0 Flash
32,roberta-base-detector,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,Gemini 2.0 Flash
33,roberta-base-detector,0.0050,Type II (False Negative),0.9974899598393574,1987,1992,Gemini 2.0 Flash
34,roberta-base-detector,0.0100,Type I (False Positive),0.010040160642570281,20,1992,Gemini 2.0 Flash
35,roberta-base-detector,0.0100,Type II (False Negative),0.9964859437751004,1985,1992,Gemini 2.0 Flash
36,roberta-base-detector,0.0500,Type I (False Positive),0.04969879518072289,99,1992,Gemini 2.0 Flash
37,roberta-base-detector,0.0500,Type II (False Negative),0.9829317269076305,1958,1992,Gemini 2.0 Flash
38,roberta-base-detector,0.1000,Type I (False Positive),0.10240963855421686,204,1992,Gemini 2.0 Flash
39,roberta-base-detector,0.1000,Type II (False Negative),0.9382530120481928,1869,1992,Gemini 2.0 Flash
